gb|AAL19308.1|ARO:3000504|golS	gb|AAL19308.1|ARO:3000504|golS	100.000
gb|AAL19308.1|ARO:3000504|golS	gb|AAG05661.1|ARO:3004107|Paer_soxR	26.613
gb|BAE78082.1|ARO:3003550|mdtP	gb|BAE78082.1|ARO:3003550|mdtP	100.000
gb|BAE78082.1|ARO:3003550|mdtP	gb|EGP45230.2|ARO:3004142|OprZ	28.416
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAD51346.1|ARO:3003053|smeC	26.667
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAG05913.1|ARO:3004072|OpmB	26.023
gb|BAE78082.1|ARO:3003550|mdtP	gb|CAJ77855.1|ARO:3000779|adeH	27.066
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAX14803.1|ARO:3000782|adeK	26.291
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAL19304.1|ARO:3000791|mdsC	25.410
gb|BAE78082.1|ARO:3003550|mdtP	gb|BAM10414.1|ARO:3003039|OprA	25.701
gb|BAE78082.1|ARO:3003550|mdtP	gb|CAC14596.1|ARO:3003057|smeF	25.949
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAG03816.1|ARO:3000379|OprM	25.926
gb|BAE78082.1|ARO:3003550|mdtP	gb|ALX99516.1|ARO:3003811|adeC	23.095
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAB41958.1|ARO:3000802|OprJ	27.294
gb|BAE78082.1|ARO:3003550|mdtP	gb|CAA64891.1|ARO:3000812|mtrE	24.468
gb|BAE78082.1|ARO:3003550|mdtP	gb|BAO79432.1|ARO:3000785|cmeC	22.515
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAC43969.1|ARO:3003037|opcM	25.733
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAG05883.1|ARO:3000805|OprN	23.744
gb|BAE78082.1|ARO:3003550|mdtP	gb|AAG07595.1|ARO:3000809|OpmD	25.410
gb|BAE78082.1|ARO:3003550|mdtP	gb|BAE06009.1|ARO:3003700|opmE	25.794
gb|BAE77778.1|ARO:3000508|gadX	gb|BAE77778.1|ARO:3000508|gadX	100.000
gb|BAE77778.1|ARO:3000508|gadX	gb|ANK04027.1|ARO:3003838|gadW	31.579
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAC76539.1|ARO:3000796|mdtF	100.000
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAC73564.1|ARO:3000216|acrB	71.148
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAC76298.1|ARO:3000502|AcrF	70.138
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAA74437.1|ARO:3000378|MexB	62.633
gb|AAC76539.1|ARO:3000796|mdtF	gb|BAA16344.1|ARO:3000491|acrD	61.143
gb|AAC76539.1|ARO:3000796|mdtF	gb|CAC14595.1|ARO:3003056|smeE	58.229
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAX14802.1|ARO:3000781|adeJ	56.584
gb|AAC76539.1|ARO:3000796|mdtF	gb|EGP45231.1|ARO:3004144|AxyY	50.874
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAD51345.1|ARO:3003052|smeB	51.767
gb|AAC76539.1|ARO:3000796|mdtF	gb|CAH35802.1|ARO:3002983|amrB	48.497
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAF42062.1|ARO:3000811|mtrD	48.230
gb|AAC76539.1|ARO:3000796|mdtF	gb|BAA34300.1|ARO:3003033|mexY	46.884
gb|AAC76539.1|ARO:3000796|mdtF	gb|AAL14440.1|ARO:3000775|adeB	47.404
